case_id,case_name,seed,directional_probability,source_count,directional_count,omnidirectional_count,confirmed_directional_count,cleared_count,success,total_time_s,seconds_per_source,movement_time_s,measurement_time_s,switching_time_s,clearing_time_s,survey_time_s,localization_time_s,measurement_count,clear_attempt_count,failed_clear_count,survey_station_count,grid_fallback_count,probe_no_signal_count,directional_block_count,range_no_signal_count,skipped_impossible_remeasure_count,survey_remeasure_count,survey_inserted_clear_count,survey_localized_skip_count,finish_shared_remeasure_count,directional_constraint_count,directional_probe_reorder_count
80,random seed=2007525822,2007525822,0.5,16,8,8,0,16,True,5977.2096978217805,373.5756061138613,4469.779538302232,1010.0,184.0,79.0,5464.6810121505805,512.5286856712,202.0,17.0,3.0,20,2,0,12,75,3,22.0,14.0,54.0,0.0,0.0,0.0
81,random seed=2007525823,2007525823,0.5,14,5,9,2,14,True,6016.55524489911,429.75394606422213,4702.923563119255,985.0,179.0,77.0,5573.226074145164,443.3291707539465,197.0,17.0,4.0,21,1,1,9,30,15,23.0,13.0,35.0,0.0,2.0,0.0
82,random seed=2007525824,2007525824,0.5,16,10,6,4,16,True,5539.639682334044,346.22748014587773,4385.285706965472,855.0,157.0,82.0,4234.217556691547,1305.4221256424971,171.0,18.0,4.0,15,2,6,17,55,44,35.0,10.0,49.0,11.0,5.0,0.0
83,random seed=2007525825,2007525825,0.5,16,6,10,4,16,True,5253.173724095633,328.32335775597704,4245.173724095634,780.0,139.0,89.0,4935.800046316849,317.37367777878353,156.0,19.0,3.0,17,0,0,13,42,6,33.0,15.0,34.0,0.0,4.0,0.0
84,random seed=2007525826,2007525826,0.5,15,9,6,4,15,True,6254.281009262338,416.9520672841558,4828.2810092623395,1140.0,208.0,78.0,6159.941173101768,94.33983616056958,228.0,16.0,1.0,21,0,0,17,72,28,36.0,14.0,58.0,0.0,4.0,0.0
85,random seed=2007525827,2007525827,0.5,12,7,5,2,12,True,6387.828512483753,532.3190427069794,4790.828512483754,1290.0,241.0,66.0,6387.828512483753,0.0,258.0,14.0,2.0,21,0,0,14,49,7,21.0,12.0,26.0,0.0,2.0,0.0
86,random seed=2007525828,2007525828,0.5,15,7,8,1,15,True,5546.360845187723,369.75738967918153,4312.360845187721,975.0,178.0,81.0,5546.360845187723,0.0,195.0,17.0,2.0,21,0,0,8,49,15,33.0,15.0,49.0,0.0,1.0,0.0
87,random seed=2007525829,2007525829,0.5,13,7,6,0,13,True,5604.684463369621,431.12957410535546,4133.821173518203,1150.0,212.0,69.0,5389.615073622291,215.0693897473302,230.0,15.0,3.0,21,1,1,8,46,13,25.0,12.0,29.0,0.0,0.0,0.0
88,random seed=2007525830,2007525830,0.5,14,5,9,1,14,True,5551.125276819072,396.5089483442194,4366.866686662849,915.0,165.0,74.0,5354.944640337965,196.18063648110638,183.0,16.0,3.0,21,1,0,8,19,7,25.0,13.0,56.0,0.0,1.0,0.0
89,random seed=2007525831,2007525831,0.5,15,8,7,3,15,True,6537.27486078259,435.81832405217267,5025.042547908095,1205.0,222.0,76.0,5516.2596735286525,1021.0151872539373,241.0,16.0,2.0,21,1,1,19,83,38,43.0,12.0,37.0,1.0,4.0,4.0
90,random seed=2007525832,2007525832,0.5,11,6,5,0,11,True,5804.759157892295,527.7053779902086,4141.907006661967,1310.0,245.0,62.0,5804.759157892295,0.0,262.0,14.0,4.0,21,1,0,4,42,2,17.0,11.0,48.0,0.0,0.0,0.0
91,random seed=2007525833,2007525833,0.5,14,8,6,1,14,True,5863.804464431002,418.84317603078586,4443.910490036677,1120.0,207.0,72.0,5863.804464431002,0.0,224.0,16.0,4.0,21,2,0,11,56,6,30.0,14.0,51.0,0.0,1.0,0.0
92,random seed=2007525834,2007525834,0.5,13,3,10,0,13,True,5685.844786698582,437.3726758998909,4241.8447866985825,1155.0,215.0,74.0,5685.844786698582,0.0,231.0,16.0,3.0,21,0,0,6,47,1,25.0,13.0,51.0,0.0,0.0,0.0
93,random seed=2007525835,2007525835,0.5,13,4,9,2,13,True,5384.6084006193205,414.20064620148617,4051.6084006193205,1070.0,195.0,68.0,5230.0774906316665,154.530909987654,214.0,14.0,1.0,21,0,0,6,31,14,28.0,12.0,61.0,0.0,2.0,0.0
94,random seed=2007525836,2007525836,0.5,13,10,3,3,13,True,6469.999726171236,497.69228662855664,4920.903284555508,1195.0,222.0,64.0,5466.109283685151,1003.8904424860848,239.0,14.0,3.0,21,2,1,15,48,26,27.0,10.0,42.0,0.0,4.0,1.0
